jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,77.4,Sedang,16.14,+/-0.32,96.83,+/-1.57,0.18,+/-0.26,16.14,+/-0.32,16.7,0.0,50.0,33.3,0.0,0.0,0.32,1.57,0.26,0.32,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,77.6,Sedang,16.02,+/-0.37,97.0,+/-1.29,0.03,+/-0.04,16.02,+/-0.37,16.7,0.0,33.3,50.0,0.0,0.0,0.37,1.29,0.04,0.37,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,77.7,Sedang,16.18,+/-0.19,96.67,+/-1.25,0.03,+/-0.04,16.18,+/-0.19,0.0,0.0,50.0,50.0,0.0,0.0,0.19,1.25,0.04,0.19,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.6,Tinggi,15.64,+/-0.62,96.5,+/-1.12,0.13,+/-0.3,15.64,+/-0.62,0.0,0.0,83.3,16.7,0.0,0.0,0.62,1.12,0.3,0.62,7,0.8571,0.0,0.0
04:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.5,Tinggi,15.52,+/-0.85,96.33,+/-1.37,0.13,+/-0.3,15.52,+/-0.85,0.0,0.0,83.3,16.7,0.0,0.0,0.85,1.37,0.3,0.85,7,0.8571,0.0,0.0
05:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,81.3,Tinggi,15.44,+/-0.86,96.33,+/-1.7,0.12,+/-0.26,15.44,+/-0.86,0.0,16.7,66.7,16.7,0.0,0.0,0.86,1.7,0.26,0.86,7,0.8571,0.0,0.0
06:00,7,6.6868,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,87.2,Tinggi,15.82,+/-0.25,95.83,+/-1.86,0.12,+/-0.26,15.82,+/-0.25,0.0,25.2,59.8,15.0,0.0,0.0,0.25,1.86,0.26,0.25,7,1.0,25.71,180.0
07:00,7,6.6868,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,86.9,Tinggi,15.76,+/-0.7,93.97,+/-3.9,0.12,+/-0.26,15.76,+/-0.7,0.0,25.2,59.8,15.0,0.0,0.0,0.7,3.9,0.26,0.7,7,1.0,17.14,120.0
08:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,87.4,Tinggi,17.62,+/-0.88,94.2,+/-1.94,0.03,+/-0.07,17.62,+/-0.88,0.0,27.9,57.7,14.4,0.0,0.0,0.88,1.94,0.07,0.88,7,1.0,8.57,60.0
09:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,84.1,Tinggi,19.58,+/-1.05,87.72,+/-1.99,0.17,+/-0.29,19.58,+/-1.05,0.0,31.0,41.4,27.6,0.0,0.0,1.05,1.99,0.29,1.05,7,1.0,0.0,0.0
