tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
07-09-2026,00:00,17.0,Cerah Berawan,95.0,0.5
07-09-2026,01:00,17.0,Cerah Berawan,95.0,0.5
07-09-2026,02:00,17.0,Cerah Berawan,95.0,0.5
07-09-2026,03:00,17.0,Cerah Berawan,93.0,0.3
07-09-2026,04:00,17.0,Cerah Berawan,93.0,0.3
07-09-2026,05:00,17.0,Cerah Berawan,93.0,0.3
07-09-2026,06:00,18.0,Cerah Berawan,93.0,0.7
07-09-2026,07:00,18.0,Cerah Berawan,93.0,0.7
07-09-2026,08:00,18.0,Cerah Berawan,93.0,0.7
07-09-2026,09:00,22.0,Berawan,73.0,2.1
07-09-2026,10:00,22.0,Berawan,73.0,2.1
07-09-2026,11:00,22.0,Berawan,73.0,2.1
07-09-2026,12:00,21.0,Hujan Ringan,86.0,4.9
07-09-2026,13:00,21.0,Hujan Ringan,86.0,4.9
07-09-2026,14:00,21.0,Hujan Ringan,86.0,4.9
07-09-2026,15:00,18.0,Hujan Ringan,97.0,1.8
07-09-2026,16:00,18.0,Hujan Ringan,97.0,1.8
07-09-2026,17:00,18.0,Hujan Ringan,97.0,1.8
07-09-2026,18:00,17.0,Berawan,98.0,4.4
07-09-2026,19:00,17.0,Berawan,98.0,4.4
07-09-2026,20:00,17.0,Berawan,98.0,4.4
07-09-2026,21:00,17.0,Berawan,96.0,0.6
07-09-2026,22:00,17.0,Berawan,96.0,0.6
07-09-2026,23:00,17.0,Berawan,96.0,0.6
