tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
28-08-2026,00:00,16.0,Cerah Berawan,83.0,5.6
28-08-2026,01:00,16.0,Cerah Berawan,83.0,5.6
28-08-2026,02:00,16.0,Cerah Berawan,83.0,5.6
28-08-2026,03:00,16.0,Cerah Berawan,77.0,4.7
28-08-2026,04:00,16.0,Cerah Berawan,77.0,4.7
28-08-2026,05:00,16.0,Cerah Berawan,77.0,4.7
28-08-2026,06:00,18.0,Cerah Berawan,72.0,5.3
28-08-2026,07:00,18.0,Cerah Berawan,72.0,5.3
28-08-2026,08:00,18.0,Cerah Berawan,72.0,5.3
28-08-2026,09:00,23.0,Cerah,56.0,11.6
28-08-2026,10:00,23.0,Cerah,56.0,11.6
28-08-2026,11:00,23.0,Cerah,56.0,11.6
28-08-2026,12:00,24.0,Cerah Berawan,54.0,11.6
28-08-2026,13:00,24.0,Cerah Berawan,54.0,11.6
28-08-2026,14:00,24.0,Cerah Berawan,54.0,11.6
28-08-2026,15:00,21.0,Cerah Berawan,70.0,7.2
28-08-2026,16:00,21.0,Cerah Berawan,70.0,7.2
28-08-2026,17:00,21.0,Cerah Berawan,70.0,7.2
28-08-2026,18:00,18.0,Cerah Berawan,79.0,7.2
28-08-2026,19:00,18.0,Cerah Berawan,79.0,7.2
28-08-2026,20:00,18.0,Cerah Berawan,79.0,7.2
28-08-2026,21:00,17.0,Cerah Berawan,72.0,6.1
28-08-2026,22:00,17.0,Cerah Berawan,72.0,6.1
28-08-2026,23:00,17.0,Cerah Berawan,72.0,6.1
