tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
11-09-2026,00:00,17.0,Berawan,96.0,1.7
11-09-2026,01:00,17.0,Berawan,96.0,1.7
11-09-2026,02:00,16.0,Berawan,95.0,1.1
11-09-2026,03:00,16.0,Berawan,95.0,1.1
11-09-2026,04:00,16.0,Berawan,95.0,1.1
11-09-2026,05:00,17.0,Cerah Berawan,93.0,1.0
11-09-2026,06:00,17.0,Cerah Berawan,93.0,1.0
11-09-2026,07:00,17.0,Cerah Berawan,93.0,1.0
11-09-2026,08:00,22.0,Berawan,74.0,2.5
11-09-2026,09:00,22.0,Berawan,74.0,2.5
11-09-2026,10:00,22.0,Berawan,74.0,2.5
11-09-2026,11:00,23.0,Cerah Berawan,71.0,4.1
11-09-2026,12:00,23.0,Cerah Berawan,71.0,4.1
11-09-2026,13:00,23.0,Cerah Berawan,71.0,4.1
11-09-2026,14:00,19.0,Hujan Ringan,92.0,6.3
11-09-2026,15:00,19.0,Hujan Ringan,92.0,6.3
11-09-2026,16:00,19.0,Hujan Ringan,92.0,6.3
11-09-2026,17:00,18.0,Hujan Ringan,97.0,3.2
11-09-2026,18:00,18.0,Hujan Ringan,97.0,3.2
11-09-2026,19:00,18.0,Hujan Ringan,97.0,3.2
11-09-2026,20:00,18.0,Berawan,96.0,1.5
11-09-2026,21:00,18.0,Berawan,96.0,1.5
11-09-2026,22:00,18.0,Berawan,96.0,1.5
11-09-2026,23:00,18.0,Berawan,96.0,1.5
