tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
20-07-2026,00:00,16.0,Cerah Berawan,96.0,0.9
20-07-2026,01:00,16.0,Cerah Berawan,96.0,0.9
20-07-2026,02:00,15.0,Berawan,98.0,1.0
20-07-2026,03:00,15.0,Berawan,98.0,1.0
20-07-2026,04:00,15.0,Berawan,98.0,1.0
20-07-2026,05:00,16.0,Cerah Berawan,94.0,0.4
20-07-2026,06:00,16.0,Cerah Berawan,94.0,0.4
20-07-2026,07:00,16.0,Cerah Berawan,94.0,0.4
20-07-2026,08:00,21.0,Cerah,78.0,1.0
20-07-2026,09:00,21.0,Cerah,78.0,1.0
20-07-2026,10:00,21.0,Cerah,78.0,1.0
20-07-2026,11:00,24.0,Cerah,64.0,0.9
20-07-2026,12:00,24.0,Cerah,64.0,0.9
20-07-2026,13:00,24.0,Cerah,64.0,0.9
20-07-2026,14:00,21.0,Hujan Ringan,84.0,5.5
20-07-2026,15:00,21.0,Hujan Ringan,84.0,5.5
20-07-2026,16:00,21.0,Hujan Ringan,84.0,5.5
20-07-2026,17:00,18.0,Cerah Berawan,94.0,2.1
20-07-2026,18:00,18.0,Cerah Berawan,94.0,2.1
20-07-2026,19:00,18.0,Cerah Berawan,94.0,2.1
20-07-2026,20:00,17.0,Cerah Berawan,92.0,0.5
20-07-2026,21:00,17.0,Cerah Berawan,92.0,0.5
20-07-2026,22:00,17.0,Cerah Berawan,92.0,0.5
20-07-2026,23:00,17.0,Cerah Berawan,92.0,0.5
