tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
02-09-2026,06:00,22.0,Berawan,73.0,2.4
02-09-2026,07:00,22.0,Berawan,73.0,2.4
02-09-2026,08:00,22.0,Berawan,73.0,2.4
02-09-2026,09:00,22.0,Berawan,73.0,2.4
02-09-2026,10:00,22.0,Berawan,73.0,2.4
02-09-2026,11:00,23.0,Berawan,65.0,5.9
02-09-2026,12:00,23.0,Berawan,65.0,5.9
02-09-2026,13:00,23.0,Berawan,65.0,5.9
02-09-2026,14:00,20.0,Berawan,87.0,5.3
02-09-2026,15:00,20.0,Berawan,87.0,5.3
02-09-2026,16:00,20.0,Berawan,87.0,5.3
02-09-2026,17:00,18.0,Berawan,96.0,0.5
02-09-2026,18:00,18.0,Berawan,96.0,0.5
02-09-2026,19:00,18.0,Berawan,96.0,0.5
02-09-2026,20:00,17.0,Berawan,96.0,0.5
02-09-2026,21:00,17.0,Berawan,96.0,0.5
02-09-2026,22:00,17.0,Berawan,96.0,0.5
02-09-2026,23:00,17.0,Berawan,96.0,0.5
